,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
1,DW2,None,-92.57072948299114,189.14145896598228,192.00943337495258,2031.4856191789763,5.222060624153567,0.04053231067489672,0.0
2,DW2,E,-91.17481424674102,188.34962849348204,192.65159010693748,2138.6820844094345,2.622341153444382,0.035735107363815515,0.011828569298258007
3,DW2,F,-83.55361167355332,173.10722334710664,177.40918496056207,2301.1610312874723,2.996650378700295,0.18234901355285818,0.2355262173909699
4,DW2,C,-89.07438700128304,184.14877400256609,188.45073561602152,2208.9834854911705,1.1542961623514951,0.07254442169100486,0.06491176153328945
5,DW2,"E, F",-83.55128392149058,175.10256784298116,180.83851666092175,2301.4022058176743,3.7946235406692845,0.16163213560587494,0.1825360550243222
6,DW2,"E, C",-88.98539879028786,185.97079758057572,191.70674639851632,2246.4878653293085,1.4938162997838098,0.04850194165215025,0.03096632874744838
7,DW2,"F, C",-83.36005709386737,174.72011418773474,180.45606300567533,2286.4098068919984,1.8599507651994398,0.16799918310394998,0.18844574328431182
8,DW2,"E, F, C",-83.32461941877173,176.64923883754346,183.8191748599692,2279.095597620573,2.5012611984533537,0.14908389857700927,0.1364788124687428
9,DW3,E,-72.08773971923225,152.1754794384645,157.9114282564051,1087.9488826141708,0.5935030041663865,0.5876846629396817,0.5522074051262279
10,DW3,F,-57.09962860281749,122.19925720563498,127.93520602357556,528.0457018475142,27.584550105019357,1.0,1.0
11,DW3,C,-71.82344847151953,151.64689694303905,157.38284576097965,1307.6525354369917,26.193172818702884,0.5625904754518859,0.5601035077569385
12,DW3,"E, C",-70.97201629952716,151.9440325990543,159.11396862148004,1349.8648377768484,155.32445611161896,0.5548434407394649,0.5365742116210364
13,GM,None,-74.9817147963133,153.9634295926266,156.8314040015969,917.0677319250057,27.77023171625704,0.5888729535231049,0.5254985412534358
14,GM,E,-72.70005321327798,151.40010642655596,155.7020680400114,1114.3283083727163,193.63053249279912,0.5910806876756294,0.5637901286028826
15,GM,F,-59.661722457428624,125.32344491485725,129.62540652831268,759.6549462658475,58.65195016477844,0.9310943906510274,0.9277695422178678
16,GM,C,-71.94596362226517,149.89192724453034,154.19388885798577,1336.1971831655546,60.99797254967406,0.5765759096899866,0.5814526572039397
17,GM,"E, F",-59.66096674603111,127.32193349206221,133.0578823100028,755.1557556874211,0.7693133022757838,0.9110108214069196,0.9208442134247076
18,GM,"E, C",-71.23700012756805,150.4740002551361,156.2099490730767,1402.5759968437542,15.568398056929155,0.5622530358119326,0.5630976073527204
19,GM,"F, C",-59.65305630992239,127.30611261984478,133.04206143778538,745.9384418344108,11.885175330128806,0.9124861907078993,0.9210886781370291
20,GM,"E, F, C",-59.65299738170992,129.30599476341985,136.47593078584558,744.9429277885567,73.66114037619054,0.8918931899110757,0.8776911323496112
21,NB2,None,-83.71412711055191,171.42825422110383,174.29622863007413,1599.4963565014386,11.491622281149688,0.29843090065147293,0.27411609481276744
22,NB2,E,-82.21237089694878,170.42474179389757,174.726703407353,1794.3658084639974,73.964581249171,0.28362818093631514,0.27959518330589805
23,NB2,F,-73.31282715242205,152.6256543048441,156.92761591829952,1732.7701550613651,22.45384598784662,0.49026545995424586,0.5442003328795857
24,NB2,C,-80.46046559821022,166.92093119642044,171.22289280987587,1905.0087165906975,25.806334252991007,0.3069981046910063,0.33111703628959016
25,NB2,"E, F",-73.2758100820345,154.551620164069,160.2875689820096,1705.8393288275445,2.318644009723619,0.47415077051506255,0.5000900712134878
26,NB2,"E, C",-80.34708790607712,168.69417581215424,174.43012463009484,1958.5434060757143,0.27902179724621423,0.2812382407418528,0.2815587696211729
27,NB2,"F, C",-73.27630187605897,154.55260375211793,160.28855257005853,1750.857705509141,1.159514255106123,0.4677933387360932,0.5000748727739756
28,NB2,"E, F, C",-73.20436720941038,156.40873441882076,163.5786704412465,1714.7551914891667,3.582099742601761,0.4537483104716758,0.449235847729716
29,TL,None,-74.98171479631347,155.96342959262694,160.26539120608237,917.0677319250764,2.015277377331411,0.5681382987862891,0.4958688693112691
30,TL,E,-72.69717594367128,153.39435188734257,159.13030070528316,1110.390287208604,3.6764068768835543,0.5709651973513544,0.5339995718487741
31,TL,F,-59.661722457428624,127.32344491485725,133.05939373279784,759.6549462658915,0.9642112854431647,0.9103597359142194,0.9208208588628537
32,TL,C,-71.58737895172445,151.1747579034489,156.9107067213895,1288.2001804946606,2.056570260153866,0.5705837101987619,0.5671564433816199
33,TL,"E, F",-59.660966746036394,129.3219334920728,136.49186951449852,755.1557567724201,0.7693133022922864,0.8902761665170418,0.8719320935094237
34,TL,"E, C",-71.00164871883848,152.00329743767696,159.1732334601027,1373.0288228390448,15.568398056907403,0.5509187659676315,0.52351198470257
35,TL,"F, C",-59.65305630992239,129.30611261984478,136.4760486422705,745.9384418344071,11.885175330110306,0.8917515359710979,0.8771297595835478
